도메인,기능 설명,담당자,method,endpoint,query parameter,path parameter,request model,response model,구현 여부
Auth,"유저 등록하는 기능. 제일 처음에 아이디와 비번, 이메일 받아서 유저 등록 하는거임",정대균,POST,/autn/create_user,,,"{ ""email"":str ""password"": str, ""name"": str","{""message"": ""사용자가 성공적으로 생성되었습니다.""}",O
Auth,인증 이메일 전송. 재전송이랑 겸함. 400번대 나오면 이메일이 잘못되었거나. 이미 가입이 된 사람임,정대균,GET,/auth/send_email,email,,,200,O
Auth,이건 이메일 안에 포함되어있으니까 신경 ㄴㄴ,정대균,GET,/auth/verify_email,token (이메일 인증용 시크릿으로 따로 만든 토큰),,,html page,O
Auth,로그인. 말 그대로임. 로그인,정대균,POST,/auth/login,,,"{
    ""email"": str,
    ""password"": str
}","{
  ""access_token"": str,
  ""token_type"": ""bearer"",
  ""expires_in"": int,
}",O
Skill,"배우고싶은 것 등록
WantToLearn
사용자가 가입 하고 초반에 배우고 싶은 기술을 등록하는 화면에서 쓰임
전체 skill 조회 (all_available) 사용해서 스킬 목록 불러오고 (검색 기능도 겸함)
선택하게 하면 됨",한준희,POST,/skill/want_to,,,"{
    ""want_to_skill"": list [{""name"", ""category}],
}",200,O
Skill,"가르칠 수 있는 것 등록
CanToTeach
위에 있는 거랑 동일",한준희,POST,/skill/can_teach,,,"{
    ""can_teach_skill"": list [{""name"", ""category}],
}",200,O
Skill,"전체 skill 조회 (사용자)
ViewAllSkills
이건 사용자가 배우고 싶거나 가르칠 수 있는 스킬을 종합적으로 보여주는 기능임",한준희,GET,/skill/all,,,,"
    {
     ""can_teach_skill"": list[{""name"", ""category}],
     ""want_to_skill"": list[{""name"", ""category}],
    }
",O
Skill,"배우려는 skill 조회
ViewWantToLearn
윗 기능의 subset",한준희,GET,/skill/want_to,,,,"
    {
     ""want_to_skill"": list[{""name"", ""category}],
    }",O
Skill,"가르칠 수 있는 Skill 조회
ViewCanToTeach
윗윗 기능의 subset",한준희,GET,/skill/can_teach,,,,"
    {
     ""can_teach_skill"": list[{""name"", ""category}],
    }",O
Skill,"배우고 싶은 스킬 수정
EditWantToLearn
patch형태로 요청에 실려간 리스트가 그대로 db에 반영됨",한준희,PATCH,/skill/want_to,,,"{
    ""want_to_skill"": list [{""name"", ""category}],
}",,O
Skill,"가르칠 수 있는 스킬 수정
EditCanToTeach
위와 동일",한준희,PATCH,/skill/can_teach,,,"{
    ""can_teach_skill"": list [{""name"", ""category}],
}",,O
Skill,"전체 skill 조회
해당 서비스에서 사용할 수 있는 스킬을 전부 조회 가능",정대균,GET,/skill/all_available,keyword,,,"[ {""name"", ""category""}]",O
Skill,"skill 추가
사용자가 원할 경우 스킬을 추가할 수 있음.
스킬 이름은 적게 하고, 카테고리는 아래 카테고리 조회에서 조회해서 그 안에서 고르게 할 것",정대균,POST,/skill,,,,"{""name"", ""category""}",O
Skill,"category 목록 조회
윗 항목 참조",정대균,GET,/skill/categories,,,,[ str ],O
Matching,"내 매칭 리스트 조회
ViewMyMatchingList
내가 지금 하고있는 교환들 조회 (목록)",김재훈,GET,/matching/my,,,,"[
    {
    ""matching_id"":str
     ""name"": str,
    ""teaching_skill"": str,
    ""learning_skill"": str,
    ""status"": str
    }
]",ㅇ
Matching,"매칭 상세 정보 조회
ViewDetailMatchingList
해당 목록에 있는 항목에서 클릭하면 상세정보를 보도록",김재훈,GET,/matching/{matching_id},,matching_id,,"{
   ""opponent_name"": str,
    ""teaching_skill"": str,
    ""learning_skill"": str,
    ""opponent_id: str
}",ㅇ
Matching,"매칭 요청 조회
chat에서 발생한 매칭 요청을 별도의 알림창이나 채팅창 로딩 시 볼 수 있도록 하는 api",정대균,GET,/matching/requests,,,,"{
    ""send"": [
        {
            ""matching_request_id"": str,
            ""opponent_name"": str,
            ""room_id"": str,
        }
    ],
    ""receive"": [
        {
            ""matching_request_id"": str,
            ""opponent_name"": str,
            ""room_id"": str
        }
    ]
}",O
Matching,"교환 요청 수락/거절
yes_no_request
매칭 요청 조회에서 receive항목 중에 하나를 선택하면 그 id를 기반으로 accept, reject할 수 있음",정대균,POST,/matching/{matching_request_id}/accept,,matching_request_id,"{""accept"": bool}",,O
